10 [3, 'counting1979559.graphml'] [4, 'Merge']
499 [2, 'selection918608.graphml'] [4, 'Merge']
500 [4, 'merge2609835.graphml'] [5, 'Quick']
501 [4, 'merge3295512.graphml'] [5, 'Quick']
512 [2, 'selection2271698.graphml'] [5, 'Quick']
521 [0, 'bubble3537305.graphml'] [4, 'Merge']
552 [0, 'bubble1299882.graphml'] [1, 'Insertion']
555 [0, 'bubble3853986.graphml'] [1, 'Insertion']
574 [2, 'selection3502184.graphml'] [4, 'Merge']
589 [0, 'bubble2362106.graphml'] [1, 'Insertion']
594 [2, 'selection3551675.graphml'] [0, 'Bubble']
599 [1, 'insertion2933580.graphml'] [0, 'Bubble']
609 [2, 'selection906881.graphml'] [1, 'Insertion']
610 [5, 'quick4158350.graphml'] [4, 'Merge']
623 [3, 'counting881902.graphml'] [2, 'Selection']
634 [3, 'counting4152585.graphml'] [1, 'Insertion']
646 [3, 'counting3949793.graphml'] [4, 'Merge']
650 [3, 'counting2992093.graphml'] [4, 'Merge']
667 [0, 'bubble2633703.graphml'] [1, 'Insertion']
668 [5, 'quick2479771.graphml'] [4, 'Merge']
686 [0, 'bubble4857269.graphml'] [2, 'Selection']
703 [2, 'selection3600092.graphml'] [1, 'Insertion']
704 [4, 'merge4152567.graphml'] [2, 'Selection']
705 [2, 'selection4234703.graphml'] [0, 'Bubble']
709 [2, 'selection3923870.graphml'] [0, 'Bubble']
717 [2, 'selection3277885.graphml'] [1, 'Insertion']
720 [3, 'counting3313288.graphml'] [4, 'Merge']
724 [4, 'merge2980256.graphml'] [5, 'Quick']
732 [3, 'counting2991796.graphml'] [4, 'Merge']
735 [2, 'selection2268762.graphml'] [4, 'Merge']
740 [1, 'insertion882140.graphml'] [3, 'Counting']
743 [5, 'quick4609396.graphml'] [4, 'Merge']
744 [1, 'insertion2941747.graphml'] [0, 'Bubble']
752 [1, 'insertion3968585.graphml'] [4, 'Merge']
758 [1, 'insertion3614917.graphml'] [4, 'Merge']
762 [0, 'bubble2632666.graphml'] [1, 'Insertion']
767 [1, 'insertion2806083.graphml'] [2, 'Selection']
768 [1, 'insertion4806343.graphml'] [0, 'Bubble']
778 [2, 'selection4385234.graphml'] [1, 'Insertion']
779 [4, 'merge861675.graphml'] [3, 'Counting']
785 [2, 'selection4035839.graphml'] [0, 'Bubble']
786 [2, 'selection2064401.graphml'] [4, 'Merge']
795 [4, 'merge3002502.graphml'] [1, 'Insertion']
806 [2, 'selection1749572.graphml'] [4, 'Merge']
811 [4, 'merge1794400.graphml'] [3, 'Counting']
836 [2, 'selection917245.graphml'] [5, 'Quick']
838 [3, 'counting4133285.graphml'] [4, 'Merge']
840 [2, 'selection4045575.graphml'] [0, 'Bubble']
111
